OBJECTID_,WardID_,WardNo_,Crowded dwellings,No piped water,Using public healthcare facilities,Poor health status,Failed to find healthcare when needed,No medical insurance,Household hunger risk,Benefiting from school feeding scheme,UTFVI,LST,NDVI,NDBI__mean,concern_he,cancer_pro,diabetes_p,pneumonia_,heart_dise,hypertensi,hiv_prop,tb_prop,covid_prop,60_plus_pr,HVI_PC1,HVI_weighted,HVI_PC1_standardized,HVI_weighted_standardized
3692,74205010,10,11.78,0.0,91.69,6.34,2.54,88.02,36.35,46.18,-0.049124600023051,28.4303620522374,0.115361822023384,0.365519494277152,40.0,5.0,0.0015,0.0005,0.002,0.0035,0.001,0.0005,0.0005,0.0005,-1.0675894606842515,-0.06203826320367767,0.3329997012335213,0.4391669315792239
2390,79800001,1,13.43,1.63,83.82,5.64,10.54,83.44,50.33,58.62,-0.029890344494737,29.0361396256034,0.127434811212227,0.359613503125447,26.9230769230769,3.84615384615385,0.000384615384615,0.0,0.001153846153846,0.004230769230769,0.001923076923077,0.0,0.000384615384615,0.000384615384615,-2.569987902460258,-0.761630731739387,0.1832694286792885,0.24883308624603795
2391,79800002,2,37.54,0.0,88.13,5.2,5.57,85.63,70.01,65.64,-0.033191764120685,28.8676854566961,0.133617554115601,0.360369033166919,57.6923076923077,11.5384615384615,0.001538461538462,0.0,0.001153846153846,0.002692307692308,0.002692307692308,0.0,0.0,0.000384615384615,-3.1743817739259828,-0.8892171999460734,0.12303503506683623,0.21412141595449397
2392,79800003,3,16.03,1.58,90.0,0.0,7.41,56.14,50.54,54.28,-0.044875516341945,28.5035784925013,0.130552731639018,0.355435343767283,30.7692307692308,3.84615384615385,0.001923076923077,0.0,0.000769230769231,0.002692307692308,0.001538461538462,0.000384615384615,0.0,0.000384615384615,-1.646309337963577,-0.48064443181817873,0.2753239991373762,0.32527931080572614
2393,79800004,4,13.77,0.0,84.38,4.64,0.0,64.37,56.42,56.8,-0.060230178498377,28.0068250408183,0.133040433372206,0.353161775460388,38.4615384615385,0.0,0.000769230769231,0.0,0.000769230769231,0.002692307692308,0.001923076923077,0.0,0.0,0.000769230769231,-1.1988285890961565,-0.4033934750373366,0.31992030104214103,0.34629650627459774
2394,79800005,5,15.01,5.5,84.4,4.14,7.12,66.93,48.61,47.53,-0.009148044353919,29.7470878690999,0.136683592743871,0.380440513363988,53.8461538461538,0.0,0.000384615384615,0.0,0.000769230769231,0.003076923076923,0.001923076923077,0.001153846153846,0.0,0.001153846153846,-2.555500316500399,-0.8978142379901618,0.18471327349042813,0.2117824723794839
2395,79800006,6,7.94,13.86,91.88,7.54,9.72,91.65,69.05,79.63,-0.02567082497646,29.1625411241411,0.145587507599605,0.376332066781121,65.3846153846154,0.0,0.000769230769231,0.0,0.0,0.000769230769231,0.001538461538462,0.0,0.0,0.000384615384615,-3.2588763036013946,-1.328833182405258,0.1146142402857356,0.09451778359047286
2396,79800007,7,21.17,9.4,89.94,12.42,8.57,71.97,46.33,39.56,-0.058351280986247,28.0306133748874,0.151322438471482,0.336988965035167,46.1538461538462,0.0,0.001538461538462,0.0,0.0,0.001923076923077,0.001153846153846,0.000384615384615,0.0,0.000769230769231,-1.6201987692245488,-0.5509745476971334,0.27792620003504165,0.30614502620430933
2397,79800008,8,13.73,8.72,70.89,15.21,3.66,61.42,42.58,47.28,0.009305041889943,30.3501004706301,0.137531718767221,0.359835199808353,42.3076923076923,0.0,0.000769230769231,0.0,0.0,0.001153846153846,0.001153846153846,0.0,0.0,0.0,-1.8205393590422654,-0.9657627823914173,0.2579600909903447,0.1932961273681474
2398,79800009,9,0.0,2.84,42.8,11.5,1.88,43.91,6.89,10.7,-0.060127556943398,27.8672876354091,0.171270196781194,0.3166015431467,61.5384615384615,7.69230769230769,0.003461538461538,0.001153846153846,0.001923076923077,0.001538461538462,0.000384615384615,0.0,0.000384615384615,0.001538461538462,3.1560660237672025,1.310142587971236,0.7539327036097195,0.8124877857092514
