Ward ID,HVI score,Level of Vulnerability
ZA79800095,5.40749,Very High
ZA79800127,5.30591,Very High
ZA79800001,5.25002,Very High
ZA79800035,5.11914,Very High
ZA79800005,5.01095,Very High
ZA79800131,4.83624,Very High
ZA79800122,4.6358,Very High
ZA79800019,4.60827,Very High
ZA79800025,4.32424,Very High
ZA79800037,4.28323,Very High
ZA79800119,4.08489,Very High
ZA79800046,3.91869,Very High
ZA79800017,3.79746,Very High
ZA79800129,3.79229,Very High
ZA79800075,3.73131,Very High
ZA79800043,3.5528,Very High
ZA79800007,3.42766,Very High
ZA79800029,3.31906,Very High
ZA79800003,3.31845,Very High
ZA79800026,3.31243,Very High
ZA79800008,3.29126,Very High
ZA79800028,3.11313,Very High
ZA79800047,2.95517,Very High
ZA79800012,2.93147,Very High
ZA79800002,2.90366,Very High
ZA79800024,2.8114,Very High
ZA79800105,2.78311,Very High
ZA79800020,2.72461,Very High
ZA79800006,2.70732,Very High
ZA79800116,2.67967,Very High
ZA79800015,2.5819,Very High
ZA79800078,2.44269,High
ZA79800030,2.43944,High
ZA79800050,2.38058,High
ZA79800042,2.34552,High
ZA79800068,2.34537,High
ZA79800004,2.33375,High
ZA79800016,2.32232,High
ZA79800033,2.32201,High
ZA79800079,2.25388,High
