"Rank","HVI","PC1","PC2","PC3","PC1_weighted","PC2_weighted","PC3_weighted","LISA_cluster"
1,2.18,2.09,2.12,1.84,0.89,0.68,0.47,"High-High"
2,2.13,2.12,2.27,1.46,0.9,0.72,0.37,"High-High"
3,2.01,2.09,2.24,1.22,0.89,0.71,0.31,"High-High"
4,1.95,1.83,2.98,0.58,0.78,0.95,0.15,"High-High"
5,1.65,1.67,3.17,-0.23,0.71,1.01,-0.06,"Not Significant"
6,1.53,1.49,3.13,-0.21,0.63,1,-0.05,"High-High"
7,1.38,0.91,3.18,0.3,0.39,1.02,0.08,"High-High"
8,1.34,0.75,3.46,0.11,0.32,1.11,0.03,"High-High"
9,1.3,0.98,3.33,-0.24,0.42,1.07,-0.06,"High-High"
10,1.29,1.04,1.38,2.07,0.44,0.44,0.53,"High-High"
